TripHobo,http://www.triphobo.com,https://www.linkedin.com/company/triphobo,"[u'Karthik Ramachandra', u'saket newaskar', u'Praveen Kumar']","[u'Online Travel', u'Travel & Tourism', u'E-Commerce', u'Social Media']",
6renyou.com,http://www.6renyou.com,,[],[u'Mobile'],CHN
Yonghong Tech,http://www.yonghongtech.com,,[],[u'Mobile'],CHN
Wangdaizhijia,http://www.wangdaizhijia.com,,[],[u'Social Media'],CHN
Imago BioSciences,http://imagobio.com/,,[u'Hugh Rienhoff'],"[u'Bio-Pharm', u'Medical', u'Biotechnology']",USA
Woqu.com,http://www.woqu.com/,,[u'Zhiwen Huang'],[u'Mobile'],USA
Nengtong Science and Technology,http://www.ntong.com/,,[],[u'E-Commerce'],CHN
Beijing Yiyang Huizhi Technology,http://www.hzt360.com/,,[],[u'Mobile'],CHN
Nextcar.com,http://www.nextcar.cn/,,[u'Hongjuan Chen'],[u'E-Commerce'],CHN
Beijing iChao Online Science and Technology,http://www.circlely.cn,,[],[u'Advertising'],
Wuxi Ada Software,http://myadasoft.com/,,[u'Fang Gu'],[u'Video Games'],CHN
Tobosu.com,http://www.tobosu.com/,,[u'Jinshui Xu'],[u'Mobile'],
Dfmeibao.com,http://dfmeibao.com/,,[u'Jiangang Du'],[u'Mobile'],CHN
