Name,HomePage URL,LinkedIn Page,Founders,Category,Country,,
Onshape,http://www.onshape.com,https://www.linkedin.com/company/onshape-inc,"Scott Harris, Jon Hirschtick, John McEleney","Software, CAD, Mobile",USA,,
Digital Assess,http://www.digitalassess.com,https://www.linkedin.com/company/digitalassess,Dan Sandh,"Education, Internet, SaaS",GBR,,
Devialet,http://en.devialet.com/,http://www.linkedin.com/company/2384655,"Mathias Moronvalle, Emmanuel Nardin, Pierre-Emmanuel Calmel, Quentin Sanni\xe9","Audio, Electronics, High Tech",FRA,,
Vapogenix,http://www.vapogenix.com/,,Danguole Altman,"Fitness, Medical, Health Care",USA,,
Cloudwise,http://www.cloudwise.com,https://www.linkedin.com/company/cloudwise,"Andy Yin, Bin Tan","Security, Cloud Computing",CHN,,
Primaseller,http://www.primaseller.com,http://www.linkedin.com/company/primaseller-com,,Retail,IND,,
Flexus Biosciences,http://flexusbio.com,,Terry Rosen,"Bio-Pharm, Medical, Biotechnology",USA,,
Therabron,http://therabron.com/,,Aprile Pilon,Biotechnology,USA,,
TRACE Live Network,http://www.trace.com/,,Cameron Chell,"Tracking, Hardware + Software, Video Streaming",USA,,
Coastal Compassion,http://coastalcompassion.org/,,,Cannabis,USA,,
WeSustain,http://www.wesustain.com/,,"Michael Corty, Andre Borngraber","Software, Sustainability, Enterprise Software",DEU,,
INMOTION Technologies,http://imscv.com/en,https://www.linkedin.com/company/inmotion-technologies,,Consumer Goods,,,
"Insikt, Inc.",http://www.insikt.com,https://www.linkedin.com/company/insikt-inc-,James Gutierrez,Financial Services,USA,,
RYB,http://www.rybbaby.com/,,,,CHN,,
Arcas Entertainment,http://www.i9yu.com/,,,Entertainment,,,
Huami,http://huami-usa.com,https://www.linkedin.com/company/6403081,,"Wearables, Lifestyle Products, Fitness, Health and Wellness",CHN,,
Agora,http://www.agora.io/,,,"VoIP, Mobile Software Tools, Mobile",USA,,
Chakratec,http://www.chakratec.com/,http://www.linkedin.com/company/chakratec,"Nir Zohar, David Pinc","Environmental Innovation, Clean Technology, Technology",ISR,,
Ridibooks,http://www.ridibooks.com/,,,"Apps, Digital Entertainment, E-Commerce, E-Books",KOR,,
Fenqile,http://fenqile.com,,,"Event Management, University Students, Consumer Goods",CHN,,
Xeltis,http://xeltis.com,http://www.linkedin.com/company/xeltis,,Medical Devices,CHE,,
Numoni,http://www.numoni.com/,http://www.linkedin.com/company/numoni-pte-ltd,,Information Technology,SGP,,
homelane,http://www.homelane.com,https://www.linkedin.com/company/homelane,"Rama Harinath, Srikanth Iyer",Interior Design,IND,,
WedPics,http://www.wedpics.com,http://www.linkedin.com/company/2714838,"Justin Miller, Andy Heymann, Idan Koren","iOS, Android, Photography, Apps, iPhone, Photo Sharing, Weddings",USA,,
Cbazaar.com,http://www.cbazaar.in/,http://in.linkedin.com/company/cbazaar,"Rajesh Nahar, Ritesh Katariya",Internet,IND,,
Virgin Pulse,http://www.virginpulse.com,https://www.linkedin.com/company/virgin-pulse,Richard Branson,"Active Lifestyle, Health and Wellness, Lifestyle",USA,,
Innara Health,http://www.innarahealth.com/,https://www.linkedin.com/company/innara-health,David Stalling,"Health Care, Health and Wellness, Medical",USA,,
Menlo Security,https://www.menlosecurity.com/,http://www.linkedin.com/company/menlo-security,"Gautam Altekar, Amir Ben-Afraim","Networking, Computers, Security",USA,,
Metao.com,http://metao.com,,,"Real Time, Logistics, Service Providers",CHN,,
Collectabillia.com,https://www.collectabillia.com/,,Anjana Reddy,"Fashion, Sports",IND,,
Easybike,http://www.easybike.fr/,,,"Green Consumer Goods, Bicycles, Electric Vehicles",,,
Clique,http://www.whowhatwear.com/,https://www.linkedin.com/company/clique-media-who-what-wear,"Katherine Power, Hillary Kerr","Beauty, Content, Fashion, Advertising, Brand Marketing, Lifestyle, Digital Media",USA,,
HIHEY.COM,http://hihey.com/,,,"Art, Electrical Distribution, Retail",CHN,,
Salunda,http://www.salunda.com/,http://www.linkedin.com/company/oxford-rf-sensors,,Clean Technology,GBR,,
La Lumiere,http://illumask.com,,Jay Tapper,"Beauty, Product Development Services, Cosmetic Surgery, Cosmetics, Health Care",USA,,
Farmer's Edge Laboratories,http://www.farmersedge.ca/,https://www.linkedin.com/company/farmers-edge,"Wade Barnes, Curtis Mackinno","Farming, Data Integration, Hardware + Software",CAN,,
